iter	Passed	Remaining
0	144	57676
1	145	29011
2	147	19453
3	148	14732
4	150	11858
5	151	9954
6	152	8583
7	154	7556
8	155	6761
9	156	6122
10	158	5599
11	159	5167
12	161	4798
13	162	4481
14	164	4210
15	165	3969
16	166	3758
17	168	3572
18	169	3405
19	171	3258
20	172	3119
21	174	2995
22	175	2881
23	177	2779
24	179	2685
25	180	2596
26	181	2513
27	183	2439
28	185	2370
29	187	2308
30	188	2245
31	190	2185
32	191	2131
33	193	2078
34	194	2032
35	196	1986
36	198	1945
37	199	1902
38	201	1862
39	202	1822
40	204	1788
41	206	1755
42	207	1723
43	209	1691
44	210	1659
45	211	1628
46	213	1600
47	214	1575
48	216	1551
49	217	1525
50	219	1501
51	220	1477
52	222	1456
53	223	1434
54	225	1412
55	226	1391
56	227	1371
57	229	1351
58	230	1333
59	232	1314
60	233	1299
61	235	1283
62	236	1266
63	238	1249
64	239	1234
65	240	1218
66	242	1204
67	243	1190
68	245	1176
69	246	1162
70	247	1148
71	249	1136
72	250	1124
73	252	1111
74	253	1099
75	255	1087
76	256	1075
77	257	1064
78	259	1053
79	260	1042
80	262	1032
81	263	1022
82	265	1012
83	266	1002
84	267	992
85	269	983
86	271	974
87	272	965
88	273	957
89	275	948
90	276	938
91	277	930
92	279	921
93	280	913
94	282	905
95	283	898
96	285	890
97	286	882
98	287	875
99	289	868
100	291	861
101	292	855
102	294	848
103	295	841
104	297	834
105	298	828
106	300	822
107	301	815
108	303	809
109	304	802
110	306	796
111	307	790
112	308	784
113	310	778
114	311	772
115	313	766
116	314	760
117	316	755
118	317	749
119	318	744
120	320	738
121	321	733
122	323	727
123	324	722
124	326	717
125	327	712
126	329	707
127	330	702
128	332	697
129	333	692
130	334	687
131	336	683
132	338	679
133	339	674
134	341	670
135	342	665
136	344	661
137	346	657
138	347	652
139	349	648
140	350	644
141	352	639
142	353	635
143	355	631
144	356	627
145	358	623
146	360	619
147	361	615
148	363	611
149	364	608
150	366	604
151	368	600
152	370	597
153	371	594
154	373	590
155	375	586
156	376	583
157	377	578
158	378	573
159	378	568
160	380	564
161	381	560
162	382	556
163	383	552
164	385	548
165	386	544
166	387	540
167	389	537
168	390	533
169	392	530
170	393	527
171	395	523
172	396	520
173	397	516
174	398	512
175	400	509
176	401	506
177	403	503
178	404	499
179	405	495
180	407	492
181	409	490
182	410	487
183	412	483
184	413	480
185	414	476
186	416	474
187	417	471
188	418	467
189	419	463
190	420	460
191	422	457
192	423	454
193	425	451
194	426	448
195	428	445
196	429	442
197	431	439
198	432	437
199	433	433
200	434	430
201	436	427
202	437	424
203	439	422
204	440	419
205	442	416
206	444	414
207	445	411
208	446	408
209	448	405
210	449	403
211	451	400
212	453	398
213	455	395
214	456	393
215	457	389
216	459	387
217	460	384
218	461	381
219	463	379
220	465	376
221	466	374
222	468	371
223	469	369
224	471	366
225	473	364
226	475	362
227	476	359
228	478	357
229	480	354
230	481	352
231	483	350
232	485	348
233	487	345
234	488	342
235	489	340
236	491	338
237	493	335
238	495	333
239	497	331
240	498	329
241	500	326
242	502	324
243	503	322
244	505	319
245	507	317
246	508	315
247	510	312
248	511	310
249	512	307
250	513	304
251	515	302
252	516	300
253	517	297
254	519	295
255	521	293
256	522	290
257	524	288
258	525	286
259	527	283
260	529	281
261	530	279
262	531	276
263	533	274
264	534	272
265	536	270
266	538	268
267	539	265
268	541	263
269	542	261
270	544	259
271	545	256
272	547	254
273	548	252
274	549	249
275	550	247
276	552	245
277	553	242
278	555	240
279	556	238
280	558	236
281	560	234
282	561	232
283	563	230
284	564	227
285	566	225
286	568	223
287	570	221
288	571	219
289	573	217
290	574	215
291	576	213
292	578	211
293	580	209
294	581	207
295	583	205
296	585	203
297	587	201
298	589	199
299	591	197
300	592	194
301	594	192
302	596	190
303	596	188
304	598	186
305	599	184
306	601	182
307	603	180
308	605	178
309	606	176
310	607	173
311	608	171
312	610	169
313	612	167
314	613	165
315	615	163
316	616	161
317	617	159
318	619	157
319	620	155
320	622	153
321	623	150
322	624	148
323	625	146
324	627	144
325	628	142
326	630	140
327	632	138
328	632	136
329	634	134
330	636	132
331	637	130
332	639	128
333	640	126
334	641	124
335	642	122
336	643	120
337	644	118
338	646	116
339	648	114
340	649	112
341	649	110
342	651	108
343	652	106
344	654	104
345	654	102
346	656	100
347	658	98
348	659	96
349	661	94
350	662	92
351	664	90
352	665	88
353	667	86
354	669	84
355	670	82
356	672	80
357	673	79
358	675	77
359	676	75
360	678	73
361	679	71
362	681	69
363	683	67
364	684	65
365	686	63
366	688	61
367	690	60
368	692	58
369	693	56
370	694	54
371	696	52
372	697	50
373	699	48
374	700	46
375	702	44
376	704	42
377	705	41
378	707	39
379	708	37
380	709	35
381	710	33
382	712	31
383	713	29
384	715	27
385	716	25
386	718	24
387	720	22
388	721	20
389	724	18
390	726	16
391	727	14
392	729	12
393	731	11
394	732	9
395	734	7
396	736	5
397	738	3
398	739	1
399	741	0
