iter	Passed	Remaining
0	148	29483
1	151	14979
2	154	10118
3	156	7682
4	159	6218
5	162	5242
6	164	4538
7	167	4012
8	169	3605
9	173	3289
10	175	3020
11	178	2796
12	181	2612
13	185	2458
14	188	2323
15	191	2203
16	194	2097
17	197	2000
18	200	1913
19	203	1834
20	207	1768
21	211	1709
22	213	1645
23	216	1584
24	218	1531
25	222	1485
26	224	1439
27	227	1397
28	230	1359
29	233	1322
30	236	1289
31	239	1255
32	245	1241
33	254	1243
34	283	1338
35	300	1368
36	317	1397
37	325	1389
38	334	1379
39	342	1370
40	350	1359
41	358	1350
42	367	1340
43	375	1331
44	383	1320
45	393	1317
46	401	1305
47	408	1293
48	476	1467
49	530	1590
50	546	1595
51	586	1668
52	604	1676
53	617	1668
54	634	1671
55	646	1663
56	656	1647
57	667	1634
58	682	1631
59	692	1616
60	702	1599
61	713	1588
62	727	1582
63	737	1566
64	746	1551
65	764	1552
66	775	1539
67	789	1532
68	801	1520
69	813	1511
70	822	1493
71	838	1490
72	848	1475
73	860	1464
74	871	1452
75	903	1473
76	920	1470
77	988	1545
78	1024	1569
79	1113	1669
80	1136	1669
81	1169	1682
82	1196	1687
83	1222	1687
84	1242	1680
85	1267	1679
86	1286	1671
87	1307	1664
88	1338	1668
89	1386	1694
90	1468	1759
91	1484	1742
92	1501	1727
93	1537	1734
94	1576	1742
95	1599	1733
96	1619	1719
97	1645	1712
98	1668	1701
99	1683	1683
100	1694	1660
101	1708	1641
102	1724	1623
103	1736	1603
104	1761	1593
105	1776	1575
106	1789	1555
107	1798	1532
108	1821	1520
109	1850	1514
110	1876	1504
111	1886	1482
112	1897	1460
113	1910	1441
114	1921	1420
115	1929	1397
116	1948	1382
117	1979	1375
118	2079	1415
119	2095	1397
120	2105	1374
121	2120	1355
122	2128	1332
123	2145	1315
124	2154	1292
125	2165	1272
126	2177	1251
127	2190	1232
128	2200	1211
129	2212	1191
130	2220	1169
131	2242	1155
132	2268	1142
133	2286	1126
134	2303	1108
135	2313	1088
136	2322	1068
137	2338	1050
138	2349	1031
139	2360	1011
140	2376	994
141	2386	974
142	2397	955
143	2409	937
144	2418	917
145	2427	897
146	2438	879
147	2452	861
148	2481	849
149	2493	831
150	2507	813
151	2523	796
152	2545	781
153	2559	764
154	2574	747
155	2597	732
156	2607	714
157	2614	695
158	2623	676
159	2636	659
160	2644	640
161	2650	621
162	2657	603
163	2665	585
164	2672	566
165	2679	548
166	2686	530
167	2694	513
168	2701	495
169	2706	477
170	2712	459
171	2717	442
172	2722	424
173	2727	407
174	2733	390
175	2755	375
176	2759	358
177	2764	341
178	2771	325
179	2777	308
180	2781	291
181	2786	275
182	2792	259
183	2796	243
184	2799	226
185	2801	210
186	2804	194
187	2806	179
188	2809	163
189	2811	147
190	2814	132
191	2816	117
192	2819	102
193	2822	87
194	2824	72
195	2827	57
196	2829	43
197	2832	28
198	2834	14
199	2836	0
