date,water_level_m,danger_level_m,rainfall_mm
2020-03-31,0.52,7.0,0.0
2020-04-01,0.42,7.0,0.0
2020-04-05,0.54,7.0,0.0
2020-04-07,1.0,7.0,0.0
2020-04-08,1.18,7.0,0.0
2020-04-10,1.17,7.0,0.0
2020-04-11,1.32,7.0,0.0
2020-04-12,1.19,7.0,0.0
2020-04-13,0.89,7.0,0.0
2020-04-14,0.77,7.0,0.0
2020-04-15,0.65,7.0,0.0
2020-04-16,0.38,7.0,150.0
2020-04-17,0.51,7.0,200.0
2020-04-18,0.83,7.0,0.0
2020-04-19,0.84,7.0,55.0
2020-04-20,0.9,7.0,100.0
2020-04-21,1.04,7.0,0.0
2020-04-22,1.06,7.0,0.0
2020-04-23,1.07,7.0,0.0
2020-04-24,1.5,7.0,150.0
2020-04-25,1.45,7.0,0.0
2020-04-26,1.37,7.0,0.0
2020-04-27,1.44,7.0,0.0
2020-04-28,1.21,7.0,0.0
2020-04-29,1.15,7.0,0.0
2020-04-30,1.0,7.0,100.0
2020-05-01,0.86,7.0,0.0
2020-05-02,0.9,7.0,0.0
2020-05-03,1.02,7.0,0.0
2020-05-04,1.12,7.0,0.0
2020-05-05,1.32,7.0,0.0
2020-05-06,1.49,7.0,370.0
2020-05-07,1.52,7.0,0.0
2020-05-08,1.63,7.0,0.0
2020-05-09,1.68,7.0,0.0
2020-05-10,1.59,7.0,0.0
2020-05-11,1.49,7.0,0.0
2020-05-12,1.22,7.0,0.0
2020-05-13,1.2,7.0,0.0
2020-05-14,0.01,7.0,0.0
2020-05-15,0.94,7.0,170.0
2020-05-16,1.0,7.0,150.0
2020-05-17,1.11,7.0,110.0
2020-05-18,1.05,7.0,0.0
2020-05-19,1.35,7.0,0.0
2020-05-20,1.5,7.0,0.0
2020-05-21,2.45,7.0,255.0
2020-05-22,2.33,7.0,50.0
2020-05-23,2.18,7.0,0.0
2020-05-24,1.92,7.0,0.0
2020-05-25,2.28,7.0,325.0
2020-05-26,2.38,7.0,0.0
2020-05-27,2.38,7.0,300.0
2020-05-28,2.28,7.0,75.0
2020-05-29,2.13,7.0,95.0
2020-05-30,2.37,7.0,0.0
2020-05-31,2.4,7.0,0.0
2020-06-01,2.63,7.0,50.0
2020-06-02,2.57,7.0,135.0
2020-06-03,2.62,7.0,0.0
2020-06-04,2.74,7.0,230.0
2020-06-05,2.78,7.0,85.0
2020-06-06,2.87,7.0,195.0
2020-06-07,2.9,7.0,30.0
2020-06-09,2.9,7.0,0.0
2020-06-10,2.9,7.0,0.0
2020-06-11,2.91,7.0,0.0
2020-06-12,2.96,7.0,0.0
2020-06-13,3.03,7.0,175.0
2020-06-14,3.1,7.0,75.0
2020-06-15,3.08,7.0,100.0
2020-06-16,3.1,7.0,0.0
2020-06-17,3.05,7.0,225.0
2020-06-18,3.24,7.0,350.0
2020-06-19,3.23,7.0,175.0
2020-06-20,3.27,7.0,95.0
2020-06-21,3.39,7.0,0.0
2020-06-22,3.5,7.0,35.0
2020-06-23,3.5,7.0,0.0
2020-06-24,3.52,7.0,0.0
2020-06-25,3.47,7.0,0.0
2020-06-26,3.49,7.0,50.0
2020-06-27,3.5,7.0,200.0
2020-06-28,3.56,7.0,455.0
2020-06-29,3.77,7.0,205.0
2020-06-30,3.96,7.0,145.0
2020-07-01,4.1,7.0,0.0
2020-07-02,4.21,7.0,0.0
2020-07-03,4.32,7.0,150.0
2020-07-04,4.39,7.0,0.0
2020-07-05,4.46,7.0,0.0
2020-07-06,4.52,7.0,0.0
2020-07-07,4.53,7.0,165.0
2020-07-08,4.5,7.0,65.0
2020-07-09,4.45,7.0,125.0
2020-07-10,4.41,7.0,150.0
2020-07-11,4.44,7.0,515.0
2020-07-12,4.53,7.0,100.0
2020-07-13,4.65,7.0,0.0
2020-07-14,4.72,7.0,75.0
2020-07-15,4.79,7.0,0.0
2020-07-16,4.81,7.0,0.0
2020-07-17,4.83,7.0,0.0
2020-07-18,4.84,7.0,0.0
2020-07-19,4.83,7.0,35.0
2020-07-20,4.94,7.0,125.0
2020-07-21,4.99,7.0,150.0
2020-07-22,5.1,7.0,150.0
2020-07-23,5.18,7.0,25.0
2020-07-24,5.23,7.0,0.0
2020-07-25,5.27,7.0,0.0
2020-07-26,5.25,7.0,0.0
2020-07-27,5.24,7.0,155.0
2020-07-28,5.23,7.0,300.0
2020-07-29,5.19,7.0,350.0
2020-07-30,5.16,7.0,50.0
2020-07-31,5.14,7.0,0.0
2020-08-01,5.1,7.0,40.0
2020-08-02,5.09,7.0,0.0
2020-08-03,5.04,7.0,0.0
2020-08-04,4.98,7.0,0.0
2020-08-05,4.96,7.0,0.0
2020-08-06,4.98,7.0,0.0
2020-08-07,4.9,7.0,0.0
2020-08-08,4.83,7.0,0.0
2020-08-09,4.74,7.0,75.0
2020-08-10,4.69,7.0,0.0
2020-08-11,4.61,7.0,0.0
2020-08-12,4.56,7.0,75.0
2020-08-13,4.42,7.0,0.0
2020-08-14,4.38,7.0,0.0
2020-08-15,4.37,7.0,50.0
2020-08-16,4.36,7.0,50.0
2020-08-17,4.39,7.0,75.0
2020-08-18,4.41,7.0,40.0
2020-08-19,4.41,7.0,0.0
2020-08-20,4.44,7.0,0.0
2020-08-21,4.44,7.0,125.0
2020-08-22,4.48,7.0,200.0
2020-08-23,4.41,7.0,25.0
2020-08-24,4.32,7.0,0.0
2020-08-25,4.28,7.0,0.0
2020-08-26,4.22,7.0,0.0
2020-08-27,4.15,7.0,25.0
2020-08-28,4.05,7.0,25.0
2020-08-29,3.96,7.0,0.0
2020-08-30,3.88,7.0,175.0
2020-08-31,3.84,7.0,0.0
2020-09-01,3.85,7.0,100.0
2020-09-02,3.84,7.0,0.0
2020-09-03,3.88,7.0,0.0
2020-09-04,3.85,7.0,0.0
2020-09-05,3.83,7.0,0.0
2020-09-06,3.76,7.0,0.0
2020-09-07,3.64,7.0,100.0
2020-09-08,3.58,7.0,550.0
2020-09-09,3.56,7.0,0.0
