iter	RMSE
0	0.7347684723
1	0.7018772753
2	0.6728330424
3	0.6453506152
4	0.6180184405
5	0.5927892471
6	0.5683571863
7	0.5447583266
8	0.5222480594
9	0.5001043139
10	0.4794393542
11	0.4605255344
12	0.4430420712
13	0.425319354
14	0.4093057228
15	0.3935577214
16	0.3791901593
17	0.3646031346
18	0.3505579867
19	0.337267454
20	0.3251353651
21	0.3131905416
22	0.3017506292
23	0.2911534645
24	0.2811773363
25	0.2721385251
26	0.2631259467
27	0.2549549974
28	0.2468887034
29	0.2394908792
30	0.2321218081
31	0.2252473747
32	0.2188786911
33	0.2125541637
34	0.206299882
35	0.1999169001
36	0.1945795343
37	0.189456607
38	0.184429636
39	0.1800586375
40	0.1753440927
41	0.1707854015
42	0.1673630952
43	0.1633080833
44	0.1595814819
45	0.1561364439
46	0.1526959896
47	0.1496123752
48	0.1466342473
49	0.1442017886
50	0.1419322007
51	0.1396641036
52	0.1373430276
53	0.1351534018
54	0.1331580251
55	0.1311492326
56	0.1292221578
57	0.1274997974
58	0.1257254704
59	0.1238181173
60	0.122237192
61	0.1204874835
62	0.1189966597
63	0.1173765615
64	0.1158638421
65	0.1148166941
66	0.113679777
67	0.1126572932
68	0.1114314788
69	0.1106080359
70	0.1097330317
71	0.1085699289
72	0.1076466429
73	0.1066896664
74	0.1058585395
75	0.1050064456
76	0.1041571381
77	0.1034711405
78	0.1026872314
79	0.101949847
80	0.1011222753
81	0.1004595365
82	0.09996856989
83	0.0992733171
84	0.09846742923
85	0.09765669285
86	0.0972791834
87	0.09668605149
88	0.09624696903
89	0.09561533121
90	0.09513191523
91	0.09461535626
92	0.09420676613
93	0.09369407194
94	0.09309972411
95	0.09245480082
96	0.09198395402
97	0.09137776773
98	0.09077478466
99	0.0903184273
100	0.08994432534
101	0.08959985251
102	0.08905428656
103	0.0887378068
104	0.08828084148
105	0.08799444245
106	0.08756962967
107	0.08715576215
108	0.08687852337
109	0.08660678959
110	0.08623883032
111	0.08599013663
112	0.08565032934
113	0.08532996416
114	0.08503363553
115	0.08473689687
116	0.08439109707
117	0.08409300298
118	0.08384831371
119	0.08362743348
120	0.08334199382
121	0.08306627603
122	0.08285083604
123	0.08270258136
124	0.08231668459
125	0.08202940693
126	0.08177493898
127	0.08163546232
128	0.0813913354
129	0.08112368895
130	0.08080063868
131	0.08051430821
132	0.08030888803
133	0.08007128588
134	0.07988085989
135	0.07977374911
136	0.07964858879
137	0.07945525965
138	0.07907686917
139	0.07884029895
140	0.07866476699
141	0.07842109322
142	0.07822248499
143	0.07800072565
144	0.07771521244
145	0.07748598515
146	0.07720229943
147	0.07697053852
148	0.0767315918
149	0.07650602184
150	0.07634753833
151	0.07611897874
152	0.07578391475
153	0.0755249615
154	0.07521600102
155	0.07491762291
156	0.07477438378
157	0.07453547597
158	0.07424147597
159	0.07408172446
160	0.0738633657
161	0.07369071741
162	0.0735629315
163	0.07334710181
164	0.07323975145
165	0.07305252309
166	0.07276582072
167	0.07267906727
168	0.07256910161
169	0.07234986255
170	0.07211510308
171	0.07186574659
172	0.07170244517
173	0.07157258064
174	0.07139966034
175	0.07120260238
176	0.07105122533
177	0.07087746291
178	0.07071456798
179	0.07060816543
180	0.07045332755
181	0.07030103559
182	0.07004481901
183	0.06979326529
184	0.06960306225
185	0.06935940105
186	0.06918289027
187	0.06899060719
188	0.06883502961
189	0.06863074308
190	0.06842188079
191	0.068196276
192	0.06810881575
193	0.06804471207
194	0.06783084626
195	0.06765220879
196	0.06747068765
197	0.06734257773
198	0.06711649287
199	0.06701951118
